Company,Company Type,Location,Rating
GlobalLogic,IT Services & Consulting,Hyderabad +62 other locations,3.5
Aurobindo Pharma,Pharma,Hyderabad +117 other locations,4.0
Tata Capital,NBFC,Mumbai +456 other locations,3.9
Shapoorji Pallonji Group,Engineering & Construction,Mumbai +190 other locations,4.1
UST,IT Services & Consulting,Bengaluru +52 other locations,3.7
Standard Chartered,Banking,Chennai +69 other locations,3.6
Swiggy,Internet,Bengaluru +240 other locations,3.7
Mahindra Finance,NBFC,Mumbai +743 other locations,3.8
Apollo Hospitals,Healthcare,Chennai +226 other locations,4.0
Udaan,Internet,Bengaluru +366 other locations,3.9
Bosch Global Software Technologies,IT Services & Consulting,Bengaluru +47 other locations,3.7
Citicorp,Financial Services,Pune +68 other locations,3.6
Ashok Leyland,Automobile,Chennai +265 other locations,4.0
Hero MotoCorp,Automobile,Gurugram +374 other locations,4.1
CGI Inc,IT Services & Consulting,Bengaluru +43 other locations,4.0
SBI Cards & Payment Services,Financial Services,Gurugram +450 other locations,3.6
NTT DATA,IT Services & Consulting,Bengaluru +81 other locations,3.8
Cyient,IT Services & Consulting,Hyderabad +49 other locations,3.6
Kalpataru Projects International,Engineering & Construction,Mumbai +328 other locations,4.1
BNY,Financial Services,Pune +28 other locations,3.6
Nagarjuna Construction Company,Engineering & Construction,Hyderabad +300 other locations,4.0
IQVIA,Clinical Research,Bengaluru +67 other locations,3.7
Schneider Electric,Industrial Automation,Bengaluru +122 other locations,4.1
SBI Life Insurance Company,Insurance,Mumbai +664 other locations,3.7
JustDial,Internet,Noida +238 other locations,3.4
CBRE,Real Estate,Hyderabad +92 other locations,4.1
TVS Motor,Automobile,Hosur +356 other locations,3.8
State Bank of India,Banking,Mumbai +653 other locations,3.8
Persistent Systems,IT Services & Consulting,Pune +42 other locations,3.6
KEC International,Engineering & Construction,Mumbai +320 other locations,4.0
Atos,IT Services & Consulting,Pune +50 other locations,3.8
ITC Infotech,IT Services & Consulting,Bengaluru +69 other locations,3.8
Amdocs,Software Product,Pune +24 other locations,3.6
vivo,Consumer Electronics & Appliances,Noida +415 other locations,4.0
Varun Beverages,Beverage,New Delhi +383 other locations,4.0
JBM Group,Auto Components,Gurugram +119 other locations,3.9
Utkarsh Small Finance Bank,Banking,Varanasi +425 other locations,3.6
Ecom Express,Logistics,Gurugram +781 other locations,4.1
Nagarro,IT Services & Consulting,Gurugram +48 other locations,3.9
Randstad,Recruitment,Hyderabad +370 other locations,3.7
Eviden,IT Services & Consulting,Pune +39 other locations,3.6
EY Global Delivery Services ( EY GDS),IT Services & Consulting,Bengaluru +57 other locations,3.5
Bosch,Auto Components,Bengaluru +133 other locations,4.1
Intas Pharmaceuticals,Pharma,Ahmedabad +150 other locations,4.1
Havells,Electrical Equipment,Noida +268 other locations,3.9
L&T Finance,NBFC,Mumbai +658 other locations,3.9
Hetero,Pharma,Hyderabad +72 other locations,3.9
Hewlett Packard Enterprise,IT Services & Consulting,Bengaluru +104 other locations,4.0
Aditya Birla Fashion and Retail,Fashion & Textile,Bengaluru +294 other locations,4.0
R1 RCM,BPO,New Delhi +49 other locations,3.8
Cars24,Internet,Gurugram +172 other locations,3.4
Tata AIA Life Insurance,Insurance,Mumbai +455 other locations,3.9
Mahindra Logistics,Logistics,Mumbai +233 other locations,3.7
Home Credit Finance,NBFC,Gurugram +139 other locations,4.0
Dell,Consumer Electronics & Appliances,Bengaluru +117 other locations,3.8
Berger Paints,Chemicals,Kolkata +372 other locations,3.7
Lenskart,Internet,New Delhi +256 other locations,3.3
Deutsche Bank,Banking,Pune +42 other locations,3.8
Motilal Oswal Financial Services,Financial Services,Mumbai +170 other locations,3.7
OPPO,Consumer Electronics & Appliances,Greater Noida +413 other locations,3.9
Hyundai Motor India Limited,Automobile,Chennai +294 other locations,4.1
TeamLease Services,Recruitment,Bengaluru +407 other locations,3.9
VE Commercial Vehicles,Automobile,Indore +183 other locations,3.9
Thermax Limited,Industrial Machinery,Pune +261 other locations,4.2
Jubilant Foods Works,Hospitality,Noida +272 other locations,3.7
Carelon Global Solutions,IT Services & Consulting,Bengaluru +20 other locations,3.9
Macleods Pharmaceuticals,Pharma,Mumbai +139 other locations,3.7
Aakash Educational Services,Education & Training,New Delhi +251 other locations,3.2
Bajaj Auto,Automobile,Pune +326 other locations,3.8
Jindal Steel Limited,Iron & Steel,Angul +176 other locations,3.9
State Street Corporation,Financial Services,Bengaluru +36 other locations,3.5
